City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
308,Gravdal,68.1214,13.5031,66.09,59,0,16.11,NO,light rain
309,Ruteng,-8.6136,120.4721,60.8,93,78,1.45,ID,broken clouds
310,Lavrentiya,65.5833,-171.0,43.97,81,87,13.27,RU,overcast clouds
311,Bage,-31.3314,-54.1069,85.78,37,0,12.66,BR,clear sky
312,Lazarev,52.225,141.5131,51.51,83,100,4.68,RU,overcast clouds
313,Dunedin,-45.8742,170.5036,36.81,83,99,5.99,NZ,overcast clouds
314,Blanquefort,44.9125,-0.6366,68.22,60,0,5.75,FR,clear sky
315,Tahmek,20.8833,-89.2667,87.76,26,8,6.38,MX,clear sky
316,Mahibadhoo,3.7833,72.9667,83.55,72,100,11.43,MV,overcast clouds
317,Puerto Madryn,-42.7692,-65.0385,53.67,32,0,8.41,AR,clear sky
318,Moron,-34.6534,-58.6198,51.49,83,100,11.99,AR,light rain
319,Ingham,42.6,-84.3833,87.42,67,40,9.22,US,scattered clouds
320,Margate,51.3813,1.3862,65.7,70,12,5.01,GB,few clouds
321,Idah,7.1065,6.7342,73.62,96,100,4.54,NG,moderate rain
322,Viedma,-40.8135,-62.9967,53.44,37,84,16.96,AR,broken clouds
323,Sarangani,5.4033,125.4636,80.71,72,100,0.67,PH,light rain
324,Takoradi,4.8845,-1.7554,76.75,84,96,10.8,GH,overcast clouds
325,Oksfjord,70.2396,22.3479,71.67,59,96,8.16,NO,overcast clouds
326,Jardim,-21.4803,-56.1381,93.22,18,0,6.91,BR,clear sky
327,Doha,25.2867,51.5333,98.91,73,4,5.75,QA,clear sky
328,Hamina,60.5697,27.1979,63.68,83,100,5.88,FI,overcast clouds
329,Elat,29.5581,34.9482,100.24,23,0,12.66,IL,clear sky
330,Riachao,-7.3619,-46.6172,93.33,22,1,7.31,BR,clear sky
331,Semporna,4.4818,118.6112,77.2,84,100,2.21,MY,overcast clouds
332,Selfoss,63.9331,-20.9971,64.29,69,76,6.02,IS,broken clouds
333,Nantucket,41.2835,-70.0995,84.54,54,90,3.44,US,overcast clouds
334,Canton,23.1167,113.25,83.95,82,100,4.5,CN,overcast clouds
335,Kaltasy,55.9693,54.8032,56.73,66,7,5.93,RU,clear sky
336,Balabac,7.9868,117.0645,82.45,73,100,3.76,PH,overcast clouds
337,Yulara,-25.2406,130.9889,40.84,48,0,4.61,AU,clear sky
338,Nieuw Amsterdam,5.8833,-55.0833,91.42,55,40,5.75,SR,scattered clouds
339,Tomatlan,19.9333,-105.25,91.15,56,21,4.5,MX,few clouds
340,Prieska,-29.6641,22.7474,61.34,25,18,13.96,ZA,few clouds
341,Sidhauli,27.2833,80.8333,80.49,91,100,6.64,IN,overcast clouds
342,Seabra,-12.4186,-41.7703,74.93,50,68,11.86,BR,broken clouds
343,Suzhou,31.3114,120.6181,78.67,83,30,3.31,CN,scattered clouds
344,Buraydah,26.326,43.975,99.05,12,100,10.33,SA,overcast clouds
345,Hervey Bay,-25.2986,152.8535,57.04,81,83,9.86,AU,broken clouds
